Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201297GE01702,259100,663720,-4.251999,55.84609,97,3,2,1,20-Feb-12,2,15:50:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,
201297GE01706,258330,662990,-4.263905,55.83931,97,3,2,1,22-Jun-12,6,17:00:00,926,S12000043,6,0,6,30,3,4,6,0,2,4,1,2,2,0,0,1,1,
201297GE01711,258050,662860,-4.268305,55.83806,97,2,2,1,20-Nov-12,3,13:00:00,926,S12000043,3,77,6,30,0,-1,-1,0,0,5,1,2,2,0,0,1,1,
201297GE01801,258220,663150,-4.265744,55.840714,97,3,1,1,20-Jan-12,6,19:30:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,
201297GE01802,258450,663450,-4.262231,55.843475,97,2,2,1,20-Feb-12,2,14:15:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,2,2,4,0,1,1,
201297GE01806,258260,662700,-4.264871,55.836686,97,3,2,2,27-Jun-12,4,23:30:00,926,S12000043,6,0,6,30,6,2,6,0,0,4,4,1,1,0,0,1,1,
201297GE01807,258290,662830,-4.26446,55.837862,97,3,2,1,19-Jul-12,5,06:05:00,926,S12000043,6,0,6,30,6,2,6,0,0,5,1,1,2,0,0,1,1,
201297GE01808,258820,662350,-4.255755,55.833708,97,3,2,1,16-Aug-12,5,15:50:00,926,S12000043,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,
201297GE01809,259080,664410,-4.252677,55.852279,97,3,2,1,17-Sep-12,2,19:10:00,926,S12000043,3,730,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,
201297GE01811,258820,662260,-4.255708,55.8329,97,3,2,1,19-Nov-12,2,17:20:00,926,S12000043,6,0,6,30,6,4,6,0,0,4,4,2,2,0,0,1,2,
201297GE01903,256330,663160,-4.295905,55.840245,97,3,2,2,16-Mar-12,6,16:30:00,926,S12000043,6,0,6,30,6,4,6,0,0,0,1,2,2,0,0,1,1,
201297GE01904,259510,662470,-4.244809,55.834986,97,3,2,1,21-Apr-12,7,14:00:00,926,S12000043,4,783,6,30,3,2,4,783,0,5,1,2,2,0,0,1,1,
201297GE01905,257570,663410,-4.276252,55.842857,97,3,2,3,23-May-12,4,14:45:00,926,S12000043,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,
201297GE01906,256830,662490,-4.287574,55.834378,97,3,2,1,25-Jun-12,2,19:21:00,926,S12000043,4,768,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,
201297GE01910,259830,662830,-4.23989,55.838312,97,3,2,1,11-Oct-12,5,16:30:00,926,S12000043,3,730,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,
201297GE01911,256260,662480,-4.296662,55.834119,97,3,1,1,28-Nov-12,4,19:00:00,926,S12000043,6,0,3,40,0,-1,-1,0,0,0,4,1,1,0,0,1,1,
201297GE01912,258550,662090,-4.259926,55.831294,97,3,1,1,18-Dec-12,3,19:50:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,
201297GE02001,258230,662570,-4.265282,55.83551,97,2,1,1,20-Jan-12,6,21:25:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,4,4,5,2,0,0,1,1,
201297GE02003,257990,663270,-4.269477,55.841724,97,3,2,1,16-Mar-12,6,17:30:00,926,S12000043,6,0,6,30,6,2,6,0,0,5,1,2,2,0,0,1,1,
201297GE02005,258520,663760,-4.261275,55.846279,97,3,2,2,29-May-12,3,17:15:00,926,S12000043,3,77,6,30,6,2,6,0,0,0,1,1,1,0,0,1,1,
201297GE02007,259420,663750,-4.246908,55.846452,97,3,2,1,21-Jul-12,7,21:05:00,926,S12000043,6,0,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,
201297GE02105,259260,662350,-4.248735,55.833836,97,3,4,1,31-May-12,5,09:15:00,926,S12000043,3,728,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,
201297GE02107,259340,664200,-4.248418,55.850469,97,3,2,1,23-Jul-12,2,10:18:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,4,1,2,2,0,0,1,1,
201297GE02108,258820,663150,-4.256171,55.84089,97,3,2,1,17-Aug-12,6,19:10:00,926,S12000043,6,0,6,30,3,2,3,728,0,5,1,1,1,0,0,1,1,
201297GE02111,256680,663800,-4.290659,55.846095,97,3,2,1,13-Nov-12,3,16:45:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,
201297GE02202,258060,663490,-4.268475,55.84372,97,3,1,1,23-Feb-12,5,17:20:00,926,S12000043,6,0,6,30,7,2,6,0,0,5,1,1,1,0,0,1,1,
201297GE02204,256300,662190,-4.29587,55.831527,97,3,2,1,24-Apr-12,3,15:45:00,926,S12000043,4,769,3,30,3,2,6,0,0,5,1,2,2,0,0,1,1,
201297GE02209,257870,663700,-4.271617,55.845549,97,2,1,1,28-Sep-12,6,15:50:00,926,S12000043,6,0,6,30,3,4,6,0,0,0,1,9,1,0,0,1,2,
201297GE02210,257940,662700,-4.269976,55.836592,97,2,3,1,23-Oct-12,3,15:45:00,926,S12000043,6,0,6,30,0,-1,-1,0,2,5,1,1,1,0,0,1,2,
201297GE02211,257730,662520,-4.273232,55.834914,97,3,3,1,29-Nov-12,5,18:30:00,926,S12000043,3,77,6,30,0,-1,-1,0,0,4,4,1,2,0,0,1,1,
201297GE02301,259060,664370,-4.252975,55.851914,97,3,3,1,23-Jan-12,2,13:45:00,926,S12000043,3,8,3,30,6,2,3,730,0,5,1,1,2,0,0,1,1,
201297GE02304,257980,663510,-4.269762,55.843876,97,3,2,1,25-Apr-12,4,19:25:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,
201297GE02403,257480,663060,-4.277504,55.839688,97,3,1,1,18-Mar-12,1,17:15:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
201297GE02408,258690,664480,-4.258938,55.852793,97,2,1,1,18-Aug-12,7,19:00:00,926,S12000043,3,8,2,30,6,2,3,77,0,5,1,1,1,0,0,1,1,
201297GE02410,258310,662910,-4.264183,55.838586,97,3,1,1,26-Oct-12,6,17:35:00,926,S12000043,6,0,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,
201297GE02508,258320,662900,-4.264018,55.838499,97,3,1,1,18-Aug-12,7,18:50:00,926,S12000043,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,
201297GE02604,258480,663600,-4.26183,55.844831,97,3,1,1,28-Apr-12,7,17:30:00,926,S12000043,3,77,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
201297GE02607,258180,663050,-4.26633,55.839805,97,2,2,1,26-Jul-12,5,16:25:00,926,S12000043,3,77,6,30,1,4,6,0,0,4,1,1,1,0,0,1,1,
201297GE02609,257990,662760,-4.26921,55.837145,97,3,2,1,27-Sep-12,5,15:50:00,926,S12000043,3,77,3,30,6,2,6,0,0,5,1,1,1,0,0,1,2,
201297GE02702,259270,662100,-4.248446,55.831595,97,3,2,1,28-Feb-12,3,17:30:00,926,S12000043,3,728,6,30,0,-1,-1,0,0,4,1,2,2,0,0,1,1,
201297GE02707,257620,663590,-4.275548,55.844488,97,3,1,1,28-Jul-12,7,22:40:00,926,S12000043,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,
201297GE02810,259520,662480,-4.244655,55.835079,97,3,2,1,31-Oct-12,4,19:30:00,926,S12000043,4,763,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,
